time,Noisy signal
4.657,0.018
4.668,0.745
4.679,0.747
4.688,-0.645
4.698,0.46
4.708,0.953
4.719,-1.317
4.73,1.065
4.741,-1.133
4.752,0.284
4.762,0.245
4.772,-1.249
4.781,0.51
4.791,0.054
4.802,-0.717
4.811,1.001
4.82,-0.363
4.83,-0.42
4.841,0.734
4.852,-1.421
4.861,0.501
4.871,0.635
4.881,-0.766
4.891,0.834
4.901,-0.853
4.912,0.236
4.922,0.623
4.931,-0.827
4.941,0.418
4.95,0.477
4.959,-0.567
4.969,0.635
4.979,-0.028
4.989,-0.921
5.0,1.735
5.01,-1.122
5.021,0.832
5.031,0.311
5.0,0.217
5.051,-0.074
5.06,-0.138
5.071,-0.308
5.082,-0.35
5.091,-0.818
5.102,-0.727
5.112,-0.777
5.121,-1.237
5.132,-0.236
5.143,-0.49
5.152,-1.37
5.162,-0.941
5.172,-0.764
5.182,-0.414
5.193,-0.179
5.202,0.54
5.213,0.494
5.223,0.675
5.233,0.583
5.242,0.76
5.252,1.263
5.261,0.846
5.272,1.295
5.281,0.52
5.291,0.721
5.301,0.449
5.312,0.152
5.321,-0.661
5.332,-0.605
5.343,-1.155
5.352,-0.843
5.362,-0.843
5.372,-0.764
5.381,-0.876
5.392,-1.039
5.403,-0.939
5.413,-0.386
5.423,-0.479
5.433,0.115
5.443,0.079
5.452,0.465
5.463,0.5
5.473,0.646
5.483,0.687
5.493,0.811
5.503,0.751
5.513,0.921
5.523,1.122
5.533,0.943
5.543,0.693
5.553,-0.016
5.564,-0.51
5.574,-0.511
5.585,-0.533
5.595,-0.345
5.606,-0.74
5.616,-1.033
5.626,-1.222
5.635,-0.561
5.645,-0.469
5.655,-0.5
5.665,-0.497
5.675,-0.625
5.685,-0.983
5.695,0.169
5.706,0.525
5.717,0.885
5.728,0.923
5.739,0.907
5.748,0.652
5.759,0.745
5.769,0.886
5.779,0.524
5.789,0.628
5.799,0.403
5.808,-0.547
5.818,-0.137
5.828,-0.553
5.839,-0.734
5.848,-0.335
5.857,-1.016
5.868,-1.076
5.879,-1.768
5.888,-0.578
5.898,-0.693
5.908,-0.753
5.917,-0.439
5.927,-0.346
5.938,0.201
5.948,0.502
5.958,0.689
5.969,0.933
5.979,0.568
5.99,1.371
6.0,0.771
6.009,0.796
6.019,0.914
6.028,0.458
6.039,0.511
6.0,0.923
6.058,1.219
6.068,1.158
6.078,0.328
6.088,-0.437
6.097,-0.449
6.107,-1.199
6.116,0.121
6.126,0.938
6.136,0.754
6.146,0.228
6.156,-0.49
6.166,-1.221
6.176,-1.32
6.186,-0.112
6.196,1.225
6.206,0.82
6.216,0.01
6.227,-0.648
6.237,-0.976
6.246,-0.059
6.258,0.487
6.268,1.389
6.278,0.553
6.288,-0.607
6.298,-1.033
6.309,-0.614
6.319,0.453
6.329,0.918
6.34,0.651
6.35,0.577
6.36,-0.951
6.37,-0.949
6.381,-0.065
6.392,0.622
6.403,1.009
6.413,0.214
6.424,-0.742
6.433,-1.133
6.444,-0.324
6.454,0.586
6.464,0.573
6.474,1.218
6.485,-0.587
6.494,-1.227
6.505,-0.82
6.515,-0.227
6.526,0.524
6.537,1.233
6.547,0.11
6.557,-0.11
6.568,-0.861
6.578,-0.565
6.589,0.832
6.6,0.986
6.609,0.898
6.62,-0.915
6.629,-0.611
6.639,-1.022
6.648,-0.314
6.659,0.702
6.67,0.934
6.679,0.59
6.69,-0.616
6.699,-1.028
6.71,-0.771
6.721,0.186
6.731,1.32
6.742,0.242
6.751,0.064
6.76,-0.67
6.771,-0.546
6.782,-0.169
6.792,1.277
6.803,1.024
6.813,-0.024
6.823,-0.404
6.834,-1.128
6.844,-0.662
6.853,0.763
6.864,0.93
6.874,0.943
6.885,-0.15
6.895,-0.838
6.906,-0.995
6.915,-0.473
6.925,0.578
6.935,1.361
6.945,0.273
6.955,-0.228
6.965,-1.3
6.974,-0.716
6.985,0.118
6.996,0.974
7.006,1.237
7.017,-0.614
7.027,-0.818
7.036,-0.956
7.046,-0.116
7.057,0.703
7.0,0.288
7.077,0.897
7.087,0.321
7.097,-0.653
7.107,-1.028
7.116,-0.905
7.126,0.3
7.136,1.167
7.146,1.098
7.157,0.009
7.166,-0.317
7.176,-0.526
7.187,-0.825
7.197,0.008
7.206,0.822
7.216,1.082
7.225,0.563
7.235,-0.128
7.246,-0.412
7.257,0.467
7.267,-0.611
7.278,0.949
7.289,0.823
7.298,0.547
7.309,-0.3
7.319,-0.531
7.329,-0.983
7.34,0.196
7.35,0.661
7.361,1.259
7.372,-0.048
7.381,-0.551
7.391,-0.709
7.401,-1.237
7.41,0.031
7.42,0.282
7.431,0.928
7.44,0.856
7.451,-0.158
7.462,-0.769
7.472,-0.424
7.483,-0.016
7.493,0.23
7.503,1.465
7.513,0.643
7.523,-0.221
7.534,-0.71
7.544,-0.852
7.554,-0.682
7.565,0.712
7.575,1.425
7.585,0.186
7.595,-0.329
7.605,-1.178
7.616,-1.109
7.625,0.022
7.636,1.039
7.646,0.593
7.656,1.371
7.665,-0.069
7.675,-0.626
7.686,-0.965
7.696,-0.089
7.707,0.972
7.717,0.905
7.728,0.563
7.738,-0.547
7.749,-0.557
7.76,-0.904
7.77,0.507
7.78,1.015
7.791,0.881
7.801,0.364
7.811,-1.07
7.822,-1.079
7.833,-0.442
7.842,0.643
7.852,1.04
7.862,0.864
7.871,0.161
7.881,-0.109
7.892,-0.965
7.902,-0.773
7.912,-0.118
7.922,0.784
7.933,0.805
7.944,0.093
7.954,-0.999
7.964,-1.067
7.974,-0.974
7.985,-0.087
7.995,0.967
8.005,0.871
8.014,-0.005
8.025,-0.241
8.036,-0.618
8.046,-0.453
8.056,0.036
8.066,0.747
8.075,0.736
8.0,1.123
8.095,-0.349
8.106,-0.679
8.116,-1.066
8.125,-1.032
8.135,-0.901
8.146,-0.391
8.156,0.536
8.167,0.86
8.176,0.651
8.186,0.559
8.195,1.547
8.205,0.989
8.214,0.638
8.225,0.798
8.235,0.978
8.246,0.046
8.256,-0.114
8.267,-0.476
8.278,-0.916
8.288,-0.949
8.298,-1.336
8.307,-1.254
8.317,-0.565
8.326,-0.719
8.336,-0.773
8.345,-0.183
8.355,0.175
8.366,-0.216
8.375,1.005
8.385,0.7
8.395,1.261
8.404,0.63
8.414,0.902
8.423,0.868
8.434,0.194
8.443,0.152
8.453,-0.228
8.463,-0.571
8.474,-0.447
8.484,-1.273
8.494,-1.228
8.504,-0.518
8.515,-1.305
8.526,-0.794
8.535,-0.437
8.545,-0.84
8.555,-0.51
8.565,0.652
8.576,0.867
8.586,0.95
8.596,1.28
8.606,1.536
8.617,0.869
8.627,0.493
8.637,0.891
8.648,-0.014
8.659,-0.804
8.668,-0.173
8.679,-0.623
8.689,-1.102
8.698,-0.94
8.708,-1.013
8.718,-0.941
8.729,-0.889
8.739,-0.63
8.748,-0.078
8.758,0.71
8.769,0.906
8.78,0.565
8.79,0.924
8.802,0.981
8.812,0.894
8.822,0.761
8.831,-0.025
8.842,-0.239
8.852,0.271
8.863,-0.543
8.874,-0.912
8.883,-0.336
8.893,-1.452
8.902,-1.191
8.912,-1.056
8.921,-0.559
8.931,-0.44
8.94,-0.293
8.95,-0.173
8.961,0.063
8.97,0.315
8.979,0.965
8.989,0.523
9.0,1.086
9.01,0.74
9.019,1.424
9.03,0.153
9.039,0.355
9.049,-0.094
9.06,-0.233
9.07,0.018
9.08,-1.329
9.0,1.625
9.1,0.93
9.11,-1.059
9.119,0.433
9.129,0.431
9.139,-0.738
9.149,0.906
9.159,-0.431
9.169,0.204
9.179,0.57
9.19,-1.273
9.199,1.17
9.209,-0.426
9.219,-0.195
9.228,0.394
9.239,-1.015
9.249,0.822
9.259,-0.867
9.27,-0.154
9.279,0.302
9.289,-0.363
9.299,1.696
9.309,-0.676
9.319,-0.559
9.329,0.385
9.339,-0.598
9.348,1.188
9.358,-0.257
9.369,0.163
9.38,-0.198
9.39,-0.661
9.4,0.864
9.411,-0.938
9.42,0.375
9.431,-0.047
9.441,-0.648
9.451,0.981
9.461,-1.04
9.471,0.713
9.481,0.403
9.491,-0.805
9.501,0.815
9.512,-0.669
9.521,0.796
9.531,0.116
9.542,-0.882
9.552,0.984
9.562,-1.368
9.572,0.751
9.581,-0.35
9.59,-1.027
9.601,1.274
9.61,-0.484
9.621,0.311
9.631,-0.36
9.642,-0.204
9.652,1.346
9.663,-1.046
9.673,0.767
9.683,-0.818
9.692,-0.612
9.703,1.001
9.713,-0.69
9.723,0.955
9.734,-0.873
9.744,0.719
9.753,0.898
9.764,-1.148
9.774,0.534
9.785,-0.317
9.794,-0.336
9.803,0.947
9.814,-0.778
9.824,0.647
9.833,0.075
9.842,-0.183
9.853,0.675
9.865,-0.866
9.875,1.508
9.886,-1.458
9.895,-0.166
9.905,0.133
9.914,-1.113
9.925,1.489
9.935,-0.771
9.944,-0.109
9.955,0.169
9.964,-1.24
9.974,0.946
9.985,-0.638
9.995,0.107
10.006,-0.105
10.016,-0.263
10.027,1.085
10.037,-1.291
10.047,1.063
10.057,0.018
10.067,-1.037
10.077,0.55
10.087,-0.806
10.0,1.22
10.107,1.189
10.117,-0.745
10.126,-0.959
10.136,0.833
10.147,-1.11
10.158,0.212
10.169,-0.038
10.18,-0.103
10.189,0.476
10.199,-0.267
10.21,-0.534
10.219,0.993
10.229,-0.758
10.239,0.956
10.25,-0.174
10.261,-0.51
10.271,1.077
10.281,-0.971
10.291,0.116
10.302,0.959
10.312,-0.152
10.321,0.607
10.332,-0.001
10.342,-0.856
10.352,0.937
10.361,-0.274
10.37,0.063
10.38,0.692
10.39,-1.325
10.399,0.006
10.409,0.838
10.419,-1.356
10.429,0.591
10.439,0.14
10.45,-0.275
10.46,0.795
10.47,-0.877
10.481,-0.222
10.491,0.24
10.501,-1.055
10.51,0.229
10.52,-0.029
10.529,-0.783
10.539,0.748
10.549,-0.469
10.558,-0.615
10.568,0.761
10.578,-0.443
10.588,0.508
10.598,0.242
10.608,-1.167
10.618,0.638
10.628,-0.073
10.638,-1.392
10.648,1.182
10.657,-0.263
10.666,-0.313
10.677,1.557
10.687,-1.016
10.698,0.199
10.708,0.648
10.718,-1.285
10.729,0.917
10.739,-0.754
10.748,-0.209
10.758,1.298
10.768,-0.645
10.778,0.475
10.788,0.135
10.799,-0.462
10.809,0.381
10.819,0.142
10.829,0.04
10.84,1.097
10.849,-0.915
10.859,0.134
10.868,0.569
10.878,-0.913
10.889,0.772
10.899,-0.262
10.91,-0.458
10.919,0.932
10.929,-0.648
10.939,0.215
10.95,0.137
10.959,-1.091
10.969,0.31
10.98,-0.213
10.99,-0.744
11.001,0.774
11.011,-0.961
11.021,0.214
11.03,0.604
11.039,-1.118
11.05,0.539
11.061,-0.068
11.072,-0.555
11.081,0.471
11.092,-1.152
11.0,1.232
11.113,0.492
11.122,0.36
11.132,-0.352
11.142,-0.712
11.153,0.269
11.164,0.711
11.174,-0.346
11.184,-0.597
11.193,0.58
11.203,1.186
11.213,-0.699
11.224,-0.743
11.234,0.662
11.245,0.781
11.254,-0.746
11.264,-0.963
11.273,0.334
11.283,1.216
11.294,-0.372
11.304,-0.616
11.314,0.562
11.324,0.588
11.335,-1.162
11.345,-0.579
11.355,0.554
11.365,0.797
11.375,0.151
11.385,-1.356
11.396,0.699
11.406,0.642
11.415,-0.694
11.425,-0.112
11.435,0.416
11.444,1.104
11.454,-0.337
11.464,-0.898
11.474,0.329
11.485,0.697
11.494,-0.391
11.504,-0.421
11.513,0.42
11.524,0.48
11.534,-0.563
11.544,-1.023
11.554,0.332
11.564,0.596
11.575,-0.666
11.584,-1.234
11.594,0.912
11.603,1.186
11.614,-0.8
11.625,-0.521
11.635,0.72
11.645,0.501
11.656,-0.798
11.666,-1.059
11.676,0.846
11.686,0.591
11.696,-0.851
11.706,-0.508
11.716,1.431
11.727,0.534
11.737,-0.938
11.747,-0.101
11.757,0.894
11.767,1.02
11.777,-1.073
11.786,-0.574
11.795,1.166
11.806,0.544
11.815,-0.983
11.825,-1.298
11.834,0.464
11.845,0.909
11.854,-0.631
11.865,-0.135
11.876,0.911
11.886,0.039
11.896,-0.938
11.907,-0.133
11.916,0.771
11.926,0.668
11.937,-1.228
11.948,-0.721
11.957,1.239
11.968,0.491
11.978,-0.863
11.988,-0.46
11.998,1.476
12.007,0.174
12.017,-0.497
12.028,-0.179
12.038,1.197
12.049,0.03
12.059,-1.174
12.069,-0.519
12.079,1.085
12.088,0.643
12.098,-1.068
12.0,1.399
12.118,0.087
12.128,1.194
12.137,0.719
12.146,0.778
12.155,0.126
12.165,-1.102
12.174,-0.672
12.184,0.316
12.194,1.305
12.203,0.859
12.213,0.512
12.223,-0.723
12.233,-0.791
12.243,-0.707
12.254,0.428
12.265,0.724
12.275,0.924
12.285,-0.615
12.296,-0.831
12.305,-0.933
12.315,0.086
12.326,0.574
12.336,1.344
12.347,-0.063
12.357,-0.519
12.367,-0.776
12.378,-0.642
12.387,0.633
12.397,0.796
12.406,1.154
12.416,0.368
12.427,-0.75
12.438,-0.916
12.447,0.049
12.458,0.785
12.468,0.933
12.478,0.881
12.489,-1.304
12.498,-0.561
12.509,-0.958
12.519,0.519
12.528,0.742
12.539,0.091
12.548,-0.133
12.558,-0.907
12.569,-1.191
12.58,-0.106
12.59,0.511
12.6,1.078
12.61,0.428
12.621,-0.453
12.631,-0.518
12.641,-0.708
12.652,0.128
12.661,0.905
12.672,0.829
12.682,0.245
12.693,-0.891
12.702,-0.352
12.712,-0.303
12.721,0.679
12.731,0.925
12.741,0.142
12.752,-0.875
12.762,-0.471
12.771,-0.772
12.782,0.216
12.792,0.817
12.801,0.523
12.812,0.008
12.823,-1.07
12.833,-0.489
12.843,-0.398
12.852,-0.003
12.861,0.726
12.871,0.894
12.881,0.452
12.891,-1.352
12.901,-1.444
12.912,0.013
12.922,0.39
12.932,1.288
12.941,0.614
12.952,-0.231
12.962,-0.798
12.972,-1.167
12.983,0.182
12.993,0.665
13.003,1.236
13.012,0.98
13.021,-0.355
13.031,-0.931
13.041,-1.102
13.051,0.166
13.061,0.358
13.071,1.161
13.081,0.52
13.092,-0.648
13.103,-1.042
13.0,0.778
13.123,-0.995
13.134,0.773
13.144,1.56
13.154,-0.103
13.165,-0.757
13.176,0.156
13.185,0.956
13.196,0.908
13.205,-0.137
13.215,-1.491
13.225,-0.3
13.236,0.874
13.246,0.384
13.256,-0.353
13.265,-0.845
13.276,0.307
13.287,1.777
13.297,-0.19
13.307,-0.908
13.317,-0.107
13.327,1.821
13.337,0.769
13.346,-0.114
13.357,-1.227
13.366,-0.457
13.377,1.021
13.386,0.629
13.397,-0.523
13.406,-0.662
13.416,-0.15
13.425,0.456
13.434,0.559
13.445,-0.694
13.456,-1.406
13.466,0.233
13.475,0.829
13.485,0.334
13.494,-0.403
13.505,-0.418
13.514,0.252
13.524,0.95
13.533,0.749
13.544,-1.095
13.553,-0.629
13.563,0.126
13.574,1.091
13.584,0.221
13.593,-0.613
13.602,-0.653
13.613,0.36
13.622,0.858
13.633,-0.27
13.643,-0.584
13.654,-0.203
13.664,0.991
13.674,0.255
13.685,-0.207
13.695,-0.287
13.705,0.338
13.716,1.192
13.727,-0.126
13.737,-0.832
13.747,-0.373
13.757,0.579
13.767,0.667
13.776,-0.8
13.787,-0.804
13.797,-0.021
13.808,1.091
13.819,0.538
13.829,-1.024
13.84,0.04
13.851,1.045
13.862,1.178
13.871,0.119
13.881,-1.312
13.891,-0.187
13.902,1.112
13.912,0.547
13.923,-0.401
13.932,-0.639
13.943,0.173
13.952,0.977
13.963,0.243
13.973,-0.444
13.984,-0.195
13.995,0.533
14.005,0.578
14.016,-0.317
14.026,-0.95
14.035,-0.545
14.045,1.296
14.056,0.778
14.065,-0.829
14.076,-0.426
14.086,0.252
14.096,1.434
14.106,-0.375
14.116,-0.655
14.0,1.131
14.137,1.076
14.148,-1.0
14.158,0.463
14.169,-0.076
14.179,-1.336
14.189,0.916
14.199,-0.842
14.21,0.623
14.221,0.868
14.231,-1.174
14.241,1.343
14.25,0.506
14.261,-1.166
14.27,0.958
14.281,-0.65
14.29,0.494
14.299,0.935
14.309,-0.973
14.32,0.854
14.33,0.671
14.34,-1.097
14.35,1.433
14.36,-0.952
14.37,-0.466
14.381,0.811
14.39,-0.846
14.4,-0.25
14.41,0.712
14.42,-1.105
14.43,0.721
14.44,-0.248
14.451,-0.093
14.462,0.389
14.473,-1.143
14.483,0.586
14.493,0.162
14.503,-0.592
14.512,0.717
14.522,0.019
14.533,-0.429
14.543,0.404
14.553,-1.598
14.562,0.221
14.573,0.331
14.583,-1.106
14.594,1.045
14.604,-0.655
14.613,-0.193
14.623,1.53
14.633,-1.07
14.643,-0.0
14.653,0.475
14.663,-0.895
14.674,1.365
14.684,-0.813
14.694,-0.742
14.705,1.58
14.714,-0.796
14.724,0.273
14.733,0.799
14.742,-1.4
14.753,0.779
14.763,-0.538
14.773,-0.487
14.782,0.523
14.793,-0.353
14.803,-0.494
14.812,1.438
14.821,-0.87
14.831,-0.281
14.841,0.438
14.852,-0.961
14.862,1.122
14.872,-0.294
14.882,-0.587
14.892,1.036
14.903,-0.486
14.914,0.379
14.923,0.468
14.934,-0.569
14.944,1.304
14.953,-0.152
14.964,-0.798
14.973,1.175
14.984,-1.199
14.994,-0.056
15.003,1.144
15.013,-1.347
15.023,0.091
15.032,0.059
15.043,-0.624
15.053,1.129
15.063,-0.231
15.074,-0.319
15.084,0.491
15.095,-0.8
15.105,0.731
15.114,0.602
15.124,-0.359
15.0,0.677
15.146,0.157
15.156,1.485
15.166,0.243
15.177,-0.894
15.187,-0.782
15.198,0.235
15.207,1.417
15.217,0.803
15.228,-0.258
15.238,-1.095
15.248,-0.399
15.258,1.058
15.268,1.022
15.277,0.281
15.287,-0.763
15.298,-0.494
15.308,0.999
15.318,1.135
15.328,0.336
15.338,-1.033
15.347,-0.887
15.357,-0.206
15.367,0.618
15.377,0.451
15.387,-0.288
15.396,-1.063
15.406,0.002
15.416,1.015
15.425,0.574
15.435,0.088
15.444,-1.303
15.455,-0.685
15.464,0.299
15.473,0.651
15.484,0.494
15.493,-1.116
15.504,-1.018
15.515,0.168
15.526,1.474
15.537,-0.295
15.547,-0.891
15.557,-0.819
15.567,0.246
15.578,1.173
15.588,0.006
15.599,-0.171
15.609,-0.988
15.618,0.506
15.628,1.441
15.638,0.948
15.648,-0.382
15.657,-0.583
15.667,-0.075
15.677,0.611
15.686,0.651
15.696,0.089
15.706,-0.415
15.716,-0.675
15.727,0.142
15.738,1.316
15.748,0.343
15.757,-1.274
15.766,-0.778
15.776,0.101
15.786,0.678
15.796,0.474
15.807,-1.044
15.817,-0.578
15.828,-0.549
15.837,0.692
15.848,1.301
15.858,-0.425
15.868,-0.59
15.878,-0.264
15.888,0.664
15.898,1.259
15.909,0.308
15.919,-1.276
15.93,-0.626
15.94,0.427
15.95,0.41
15.961,0.03
15.972,-1.148
15.981,-0.24
15.99,0.552
16.0,0.384
16.01,0.117
16.021,-0.806
16.031,-0.275
16.041,-0.211
16.051,1.779
16.062,0.427
16.072,-0.186
16.082,-0.596
16.092,0.032
16.103,0.993
16.113,0.718
16.124,-0.733
16.135,-1.013
16.0,1.317
16.157,-0.073
16.166,-1.001
16.177,0.302
16.186,0.695
16.196,0.728
16.205,-0.236
16.216,-0.889
16.227,0.101
16.236,0.814
16.245,0.641
16.256,-0.34
16.266,-0.979
16.277,0.485
16.287,0.702
16.297,-0.128
16.306,-0.746
16.317,-0.403
16.327,1.271
16.337,1.403
16.347,-0.012
16.358,-1.135
16.367,-0.17
16.378,1.256
16.389,0.437
16.398,-0.78
16.407,-1.269
16.418,0.108
16.428,0.307
16.439,0.125
16.449,-0.913
16.46,-1.031
16.47,0.499
16.48,0.441
16.49,-0.376
16.5,-0.792
16.509,-0.631
16.519,0.954
16.529,0.551
16.539,-1.05
16.549,-0.966
16.558,-0.054
16.569,0.886
16.579,0.576
16.589,-0.024
16.599,-0.993
