price,bedrooms,sqft,grade
520000.0,3,2030,8
230000.0,3,1450,7
240000.0,3,1510,7
232000.0,2,1240,6
240500.0,2,1240,6
274975.0,3,3030,9
740000.0,4,2050,9
186375.0,3,1000,7
790000.0,3,2370,9
880000.0,4,2800,9
279000.0,6,2240,7
295000.0,3,1810,8
640000.0,2,1070,7
940000.0,4,2490,9
260000.0,4,1960,7
559900.0,3,2930,9
791500.0,4,1510,7
265000.0,3,1420,7
245000.0,3,1740,7
485000.0,4,2560,7
684000.0,4,3040,9
425000.0,3,2500,8
309600.0,4,1275,6
552250.0,4,2580,8
165000.0,4,1000,6
239900.0,4,1000,6
320000.0,2,1070,6
206600.0,3,1390,7
387000.0,4,2500,7
299000.0,1,560,4
855000.0,4,2270,9
315000.0,3,1900,7
437500.0,2,990,7
252000.0,4,1550,7
375000.0,4,2200,7
300000.0,4,1910,7
420000.0,4,1750,7
900000.0,3,1330,7
679900.0,3,2440,9
463000.0,3,1640,7
380000.0,5,2760,9
329500.0,4,1820,7
604950.0,3,2110,8
795000.0,5,3040,8
465000.0,3,1840,7
673000.0,4,2990,9
810000.0,4,3520,10
785000.0,4,2440,8
338000.0,4,2090,7
280000.0,3,1430,7
315000.0,4,2180,7
530000.0,4,2180,7
380000.0,5,3450,9
297000.0,3,1450,7
730000.0,4,3230,10
450000.0,3,1640,7
275000.0,3,1590,7
595000.0,4,2020,7
435000.0,3,1300,7
270000.0,2,1380,6
950000.0,3,4040,10
389000.0,4,2130,7
560000.0,4,2550,8
1350000.0,5,4800,11
799000.0,4,2510,8
365500.0,3,1410,7
252350.0,3,1650,7
403950.0,4,2120,8
385000.0,4,2040,7
345000.0,4,1550,7
490000.0,3,1980,9
330000.0,3,1600,8
927000.0,4,3300,8
1120000.0,4,3840,10
330000.0,2,1220,7
530000.0,5,2720,7
365000.0,4,1940,8
378750.0,3,2160,7
269900.0,4,1530,7
557000.0,3,1710,8
360000.0,4,3730,7
352000.0,2,940,7
437000.0,3,1750,8
322500.0,4,1820,7
650000.0,3,1510,9
450000.0,3,1290,8
278500.0,3,1570,7
364950.0,4,1930,8
840000.0,4,2840,10
268000.0,3,1550,7
517534.0,2,833,5
632925.0,3,2990,8
577500.0,3,2000,9
339000.0,4,2390,7
570000.0,3,2910,7
563500.0,4,2085,7
423000.0,4,2200,7
355000.0,3,1860,8
1550000.0,5,6070,12
482000.0,2,950,7
625000.0,3,1600,7
538000.0,3,2250,8
380000.0,3,2280,8
375000.0,2,940,7
245000.0,3,1530,7
310000.0,5,2190,7
1300000.0,3,2350,8
397000.0,4,1440,7
365000.0,3,2200,8
328500.0,4,2290,9
988000.0,4,4040,11
1000000.0,4,2610,8
237000.0,3,1490,7
525000.0,4,2450,8
749000.0,4,1710,9
722500.0,5,4870,10
843000.0,3,3130,10
438000.0,2,1270,8
578000.0,3,2120,8
227950.0,3,1670,7
196000.0,3,2070,7
641000.0,2,1420,8
350000.0,3,1250,6
205000.0,3,940,7
400000.0,3,1920,7
1030000.0,3,3545,10
505000.0,3,1260,7
475000.0,5,2340,7
520000.0,3,2590,8
1450000.0,3,3970,10
333500.0,3,1220,7
232000.0,3,1400,6
691100.0,3,2360,8
811000.0,3,1870,8
551000.0,3,2830,9
496500.0,3,2260,8
705000.0,3,1970,9
578000.0,4,3140,9
255000.0,3,1240,7
1050000.0,4,3450,10
348000.0,3,2570,8
230000.0,3,1510,7
359500.0,4,2390,9
330000.0,3,980,6
80000.0,1,430,4
465000.0,3,1480,7
325000.0,4,1850,8
340500.0,3,2270,7
342500.0,3,1810,8
290900.0,2,1610,6
868700.0,3,3840,10
1200000.0,4,4110,9
1150000.0,4,4190,11
859900.0,4,3390,9
520000.0,4,1890,7
460000.0,3,1610,9
438924.0,3,1050,7
315000.0,2,630,5
590000.0,4,2910,8
378500.0,4,1700,7
328500.0,3,1950,9
849950.0,3,2990,8
525000.0,3,1350,7
1390000.0,4,4860,9
295000.0,4,2160,8
1070000.0,6,4860,11
207950.0,2,890,6
699900.0,4,2810,9
1280000.0,5,3400,8
452000.0,4,1580,7
370000.0,3,1680,7
232000.0,3,1300,7
669950.0,5,2820,7
397500.0,3,1510,7
490000.0,2,1230,8
725000.0,4,2110,9
299000.0,3,3080,7
625000.0,2,1490,7
437500.0,3,2120,7
650000.0,4,3180,9
475000.0,2,1490,7
342000.0,3,1930,8
1200000.0,4,2770,10
280000.0,3,1670,7
240000.0,2,1330,7
529000.0,3,1210,7
442000.0,3,1190,7
615000.0,2,1540,7
1490000.0,4,4030,10
585000.0,4,2430,8
480000.0,4,2600,8
1100000.0,5,4410,9
290000.0,4,1330,7
615000.0,3,1900,7
300000.0,2,1100,7
308000.0,3,1980,6
750000.0,3,2400,9
2250000.0,4,4760,9
890000.0,4,3180,10
288000.0,3,1190,6
190000.0,2,630,6
515000.0,5,2530,8
235000.0,4,1690,5
275000.0,2,940,6
727500.0,2,1240,7
650000.0,4,3040,7
1600000.0,6,6050,11
365000.0,4,1590,6
662000.0,3,2500,9
270500.0,3,1780,7
200000.0,2,1360,7
970000.0,4,4740,10
160000.0,3,1010,7
204000.0,3,1040,6
358000.0,3,1610,7
452000.0,4,1570,7
595000.0,2,1510,7
249000.0,3,1360,7
346900.0,4,1970,8
2130000.0,3,5403,12
280000.0,4,1560,7
318888.0,4,2320,8
530000.0,3,2120,8
375000.0,3,2120,8
910000.0,4,3350,11
782000.0,4,2380,10
259950.0,2,1070,9
315000.0,4,2300,7
215000.0,2,1320,6
705000.0,3,2180,7
1450000.0,3,4380,10
451000.0,3,1790,7
261000.0,2,750,6
396000.0,3,1300,7
725000.0,4,2990,9
1950000.0,7,4640,11
238000.0,4,1400,7
750000.0,6,2750,8
331500.0,4,2050,7
460000.0,4,2230,7
404950.0,4,2340,8
880000.0,3,2870,9
863000.0,4,4120,10
638700.0,3,2080,7
435000.0,3,1840,7
260000.0,3,1180,6
671500.0,5,2160,7
610000.0,3,1180,8
405000.0,2,1160,6
338900.0,4,1830,7
720000.0,4,3200,10
442000.0,5,2560,7
650000.0,5,2550,8
263500.0,3,1330,7
300000.0,2,1220,7
266000.0,3,1805,7
930000.0,4,6050,9
530000.0,4,2320,8
180000.0,3,1384,6
619000.0,3,2720,9
264000.0,3,1820,7
730000.0,2,2130,7
439000.0,4,2060,7
268500.0,4,1420,7
330000.0,3,1510,7
640000.0,3,2160,8
900000.0,3,3180,11
370000.0,3,2110,8
685000.0,3,2060,8
505000.0,3,1830,7
265000.0,3,1820,7
290000.0,3,1610,8
296000.0,4,1780,7
360000.0,4,1840,7
240500.0,3,1460,7
372500.0,2,1400,8
595000.0,3,3370,9
515000.0,4,3590,9
1220000.0,4,3200,9
507000.0,2,1670,8
399950.0,4,2420,9
185000.0,3,1430,7
460000.0,3,1440,7
435500.0,3,1450,7
469000.0,4,3550,8
531000.0,2,1270,8
443500.0,2,940,7
223000.0,3,1670,7
590000.0,4,3100,8
340000.0,2,1100,7
650000.0,3,1870,8
533600.0,3,1930,8
695000.0,3,2540,9
242000.0,3,1280,7
425000.0,3,1820,7
525000.0,3,1490,7
485000.0,3,1880,8
175000.0,3,1250,7
210000.0,3,1440,8
260000.0,3,1920,7
577000.0,3,2060,7
200000.0,3,1210,7
605000.0,2,1760,7
325000.0,3,990,6
289500.0,3,960,6
559950.0,3,1660,9
1040000.0,3,1900,8
543500.0,3,1270,7
480000.0,4,3250,9
218000.0,3,960,6
565000.0,2,1330,7
426700.0,3,2080,7
650000.0,3,2690,8
542000.0,2,890,7
415000.0,3,1070,7
214000.0,3,1200,6
245000.0,3,1360,7
314500.0,3,2050,8
1120000.0,3,3000,9
378000.0,2,1300,7
305000.0,4,2250,7
595000.0,5,3740,8
729500.0,3,1660,9
430000.0,3,2360,7
240000.0,3,1760,7
545000.0,3,1680,7
530000.0,3,1320,7
157000.0,1,870,6
425000.0,4,1260,6
220000.0,3,1000,6
521000.0,4,2020,8
325000.0,3,1920,7
597500.0,3,2150,7
337000.0,3,1470,7
1000000.0,3,3180,10
3070000.0,3,3930,8
495000.0,3,990,6
748000.0,4,2770,8
888000.0,3,1250,7
269900.0,3,1140,7
496500.0,4,2250,7
475000.0,3,1640,7
312000.0,3,1255,7
323000.0,3,1290,7
331000.0,3,1300,7
306000.0,3,1220,8
655000.0,4,2630,8
290000.0,3,1950,8
1250000.0,4,3160,9
460000.0,3,1550,7
435000.0,4,1700,7
664000.0,4,2510,8
865000.0,4,1800,8
385000.0,3,1800,8
497000.0,3,1870,7
280000.0,2,1010,7
188000.0,2,1120,6
478500.0,3,2090,8
1150000.0,4,4370,11
222000.0,3,1440,7
799000.0,4,2580,8
609900.0,4,3190,10
413000.0,4,2380,7
400000.0,4,1420,7
802541.0,5,2990,9
320000.0,3,2680,8
507000.0,4,2730,7
387500.0,3,1220,6
396000.0,3,1500,7
373000.0,3,1830,8
1480000.0,5,4570,10
359900.0,4,2470,8
410000.0,2,800,6
690000.0,4,2900,9
245000.0,3,1410,7
700000.0,5,2830,8
268000.0,4,1680,7
225000.0,3,1760,7
980000.0,4,2240,8
795000.0,2,1380,5
195000.0,2,820,6
480000.0,4,2180,6
485000.0,4,1400,7
130000.0,2,880,5
325000.0,2,1060,6
440000.0,3,1530,7
550000.0,4,2480,8
310000.0,3,1490,6
530000.0,3,3660,9
390000.0,4,2340,8
243000.0,3,1450,7
639000.0,4,2210,9
215000.0,4,1130,7
405000.0,5,1550,7
250000.0,4,1710,7
405500.0,3,1010,7
452000.0,6,2660,7
730000.0,6,2660,7
267000.0,3,1300,7
289950.0,3,1670,7
565000.0,2,960,7
1580000.0,4,4670,12
636000.0,3,2140,8
350000.0,5,2520,8
320000.0,3,1650,7
210000.0,2,1440,8
245000.0,2,1050,7
328000.0,3,1470,7
985000.0,4,4230,11
501000.0,3,1970,8
315000.0,3,1540,7
403000.0,3,2090,8
550000.0,3,2380,8
347500.0,4,2156,9
365000.0,4,2070,8
588000.0,3,1910,8
605000.0,3,1920,8
1300000.0,3,3400,9
233000.0,3,1400,7
360000.0,4,2210,8
459000.0,2,1170,6
740000.0,3,2100,9
305000.0,3,1160,7
395000.0,3,1500,6
560000.0,4,2940,8
650000.0,4,2010,7
449950.0,3,2170,7
517500.0,3,1430,7
435000.0,4,1510,7
329999.0,3,1150,6
950000.0,3,2150,8
447000.0,3,1370,7
699800.0,2,2380,8
850000.0,3,1370,7
316500.0,3,1600,7
942500.0,5,3750,9
1310000.0,2,3950,10
856600.0,4,2400,9
405600.0,5,2830,8
565000.0,4,2440,8
400000.0,3,1190,8
330000.0,3,1400,7
374950.0,4,2730,7
405300.0,3,2390,7
560000.0,3,2060,8
824000.0,4,2490,8
260000.0,3,1100,7
760000.0,4,2430,8
405000.0,3,3170,10
429900.0,4,2640,8
341500.0,3,1130,7
465250.0,5,1940,7
450000.0,2,1100,7
390000.0,3,1200,7
420000.0,3,2000,8
269950.0,3,1890,8
493000.0,4,1910,7
370000.0,4,2710,9
2250000.0,5,4860,10
305000.0,3,1250,7
400000.0,3,1590,6
320000.0,3,1240,8
715000.0,4,2000,7
650000.0,6,3610,8
218000.0,5,1930,8
500000.0,2,1280,7
460000.0,4,2090,7
232500.0,3,1940,7
408200.0,3,1800,7
522000.0,3,1730,7
675000.0,4,2810,9
1360000.0,4,3550,11
249950.0,4,1330,6
210000.0,2,750,6
429950.0,4,1760,7
737500.0,4,3200,9
710000.0,4,1740,8
470000.0,3,2100,8
1100000.0,4,4270,12
650000.0,3,1340,7
1220000.0,4,3190,9
422120.0,3,1630,8
625000.0,5,2990,9
385200.0,4,1550,6
500000.0,3,1690,8
308000.0,4,1960,8
565000.0,3,2390,8
581000.0,3,2600,7
361000.0,3,1950,8
345000.0,3,1250,7
419000.0,2,1180,8
347000.0,3,1680,7
625000.0,4,2220,9
2400000.0,4,4890,11
379000.0,3,2660,8
310000.0,3,1150,7
250000.0,2,1130,6
682000.0,5,2760,9
246500.0,3,1430,7
325000.0,3,1490,5
310950.0,4,2030,8
1100000.0,3,3010,9
287500.0,3,1810,7
431000.0,3,1810,7
226000.0,3,970,6
825000.0,3,2010,7
175000.0,4,1300,6
465750.0,3,1260,7
659000.0,4,2610,8
595000.0,3,1910,8
350000.0,3,1780,8
270000.0,4,1900,8
662500.0,6,2450,7
249900.0,3,1380,5
324500.0,3,1920,7
430000.0,2,1350,8
419950.0,2,1350,8
285000.0,4,2510,8
332000.0,4,2470,8
282000.0,4,1660,7
320000.0,3,1340,7
428750.0,3,1620,7
330000.0,3,2300,8
456500.0,4,2000,8
352000.0,3,1640,8
664000.0,4,1530,7
628000.0,3,4000,9
512000.0,3,1610,7
254000.0,3,2070,7
535800.0,4,1900,8
287653.0,3,1050,7
438000.0,3,1520,8
450000.0,4,2390,7
327000.0,5,2400,8
370500.0,4,1790,7
265000.0,3,1720,7
450000.0,4,2980,8
425000.0,3,1520,8
166600.0,3,1150,7
245000.0,1,380,5
565000.0,3,910,7
539900.0,3,1650,8
910000.0,3,2480,10
280000.0,4,2050,8
275000.0,3,1420,7
467000.0,3,3460,7
457500.0,3,1500,8
381156.0,2,1320,7
289999.0,5,2180,8
642450.0,3,1830,7
469950.0,3,1620,7
795000.0,3,2920,8
785000.0,4,3300,10
860000.0,3,3060,10
147500.0,3,1530,7
390000.0,3,1910,7
229000.0,3,1020,7
185000.0,3,1150,6
414900.0,3,1260,7
200000.0,4,1920,6
225000.0,4,1800,8
720000.0,3,2040,7
930000.0,4,2200,8
1270000.0,5,3200,7
700000.0,5,2400,7
466000.0,2,1140,7
374000.0,3,1330,7
480000.0,3,1940,8
740000.0,3,3000,9
1010000.0,4,1820,8
395000.0,4,2910,8
340000.0,2,1090,6
209000.0,3,1230,7
431650.0,5,1710,7
980000.0,5,3160,9
660000.0,3,2680,9
730000.0,4,2190,8
291500.0,3,1260,7
905000.0,4,2970,9
800000.0,4,2570,10
839900.0,4,3810,9
200000.0,1,1010,8
300000.0,3,1480,7
530000.0,3,1250,7
314950.0,3,1654,7
255000.0,3,1410,7
550000.0,5,2160,7
435000.0,3,1400,6
234000.0,3,1420,7
615000.0,4,2500,8
205000.0,3,1410,7
384000.0,4,2100,7
324000.0,3,1750,8
645000.0,3,2070,7
570000.0,3,1570,8
324000.0,3,1920,8
270000.0,2,1000,6
290000.0,5,2120,7
250000.0,3,1440,7
342000.0,3,1660,7
255000.0,3,1340,7
800000.0,3,2380,9
451000.0,3,1560,7
990000.0,4,2780,7
288400.0,4,1860,7
420000.0,3,2390,8
359000.0,2,1370,8
390000.0,4,2570,7
300000.0,3,1320,7
545000.0,5,2520,7
288349.0,3,1250,6
299900.0,3,1560,7
891000.0,4,2330,7
1200000.0,3,3660,9
378000.0,4,2790,8
299995.0,2,1060,6
253000.0,3,2020,7
350000.0,3,1580,7
565000.0,4,2020,6
315000.0,2,970,6
570000.0,4,1490,7
971000.0,5,4390,9
915000.0,5,2750,9
419000.0,4,2150,7
260000.0,4,1810,7
1320000.0,3,2230,9
369950.0,3,2430,7
1030000.0,3,3680,10
435000.0,5,1410,6
601000.0,3,1330,8
460500.0,3,1490,7
720000.0,3,2020,8
851000.0,4,3130,10
550000.0,4,2670,7
700000.0,4,1980,7
323000.0,3,2100,7
345500.0,3,1350,6
378000.0,4,2140,7
650000.0,4,2208,8
385000.0,3,1010,7
425000.0,2,970,7
210000.0,4,1520,6
630000.0,4,2740,9
335000.0,3,1570,7
196500.0,3,1320,7
582800.0,4,2550,8
440000.0,3,1560,7
752500.0,4,2360,8
532500.0,3,1330,7
265000.0,3,1070,7
397500.0,3,1510,6
524250.0,3,1710,8
765000.0,4,2790,10
648000.0,4,2620,9
469500.0,5,2970,8
237500.0,3,1050,7
216000.0,3,1280,7
427200.0,3,1030,7
280000.0,3,1900,8
718000.0,5,3070,9
420000.0,2,1760,8
379000.0,2,930,7
326100.0,2,880,6
535000.0,3,1360,7
283000.0,4,2130,7
260000.0,3,1480,6
399000.0,4,1500,7
484950.0,3,1670,8
640000.0,4,2060,8
585000.0,4,2160,8
645000.0,4,2780,8
253000.0,3,1490,7
178500.0,2,740,6
291000.0,4,1860,7
199950.0,2,1590,5
553500.0,2,850,7
189950.0,2,1030,8
289000.0,3,1850,8
700000.0,4,1830,8
270000.0,3,1560,7
258000.0,4,1730,7
530000.0,3,1930,8
245000.0,3,1422,7
563000.0,3,1380,7
515000.0,3,2430,8
325000.0,4,2610,9
540000.0,3,2000,8
280300.0,2,920,6
460000.0,4,1750,7
475000.0,3,2020,7
900000.0,4,2460,9
538200.0,4,1780,8
429000.0,2,1080,7
164808.0,3,1250,7
520000.0,4,1870,7
475000.0,3,1700,8
283000.0,4,1480,6
321500.0,4,1930,8
840000.0,4,3130,10
287000.0,3,1370,7
375000.0,3,960,7
349500.0,3,1260,7
446450.0,3,1480,7
315000.0,4,1930,7
271310.0,2,870,6
315000.0,4,1300,7
245000.0,3,1490,7
543115.0,2,1380,8
900000.0,4,1190,7
2450000.0,4,4250,10
554000.0,2,1920,8
249900.0,3,2080,6
768000.0,3,3220,9
980000.0,4,3680,10
395000.0,5,2070,7
415000.0,3,1480,7
380000.0,4,2000,8
566000.0,3,1560,8
218500.0,2,1600,7
550000.0,4,1940,7
512031.0,3,1540,7
197500.0,2,820,6
470000.0,3,1780,7
590000.0,3,1560,7
465000.0,4,2210,8
499000.0,2,2040,7
515000.0,3,1920,8
716500.0,3,1930,9
410000.0,3,1700,6
850000.0,4,3450,8
1050000.0,4,3440,10
648000.0,4,2380,10
620000.0,4,2400,7
935000.0,4,5670,11
379000.0,3,1140,7
699000.0,3,1670,7
528000.0,4,1910,8
425000.0,3,1560,8
249500.0,2,1500,7
1040000.0,5,4475,9
790000.0,4,2840,9
399950.0,3,1020,7
275000.0,3,1410,7
550000.0,3,1520,8
140000.0,1,730,4
250000.0,3,1190,7
318000.0,3,1410,7
505000.0,2,1240,7
470500.0,5,2500,8
360000.0,3,1050,7
1240000.0,4,2680,9
986000.0,3,2380,9
515000.0,2,1060,7
320000.0,3,2300,8
310000.0,4,2010,7
356700.0,2,1090,7
775000.0,4,2320,7
325000.0,3,1040,6
208000.0,4,1810,7
825000.0,2,1150,6
515000.0,3,2360,9
490000.0,3,1970,8
675000.0,4,2690,8
360000.0,4,2080,7
550000.0,4,2080,7
225000.0,3,1370,7
500000.0,3,3410,8
385000.0,4,1850,8
837700.0,5,3010,10
448000.0,3,1530,7
730000.0,5,2690,7
575000.0,4,2810,8
430000.0,3,1810,7
435000.0,3,1560,7
241000.0,3,1010,6
453500.0,2,1000,6
285000.0,2,990,7
151000.0,2,720,5
1570000.0,5,6070,11
631000.0,5,2270,7
285000.0,2,1380,7
195000.0,3,1260,6
817500.0,4,2910,9
550000.0,3,1810,7
1130000.0,4,3160,9
609850.0,2,1910,9
200000.0,3,1230,6
367000.0,4,2960,9
285167.0,3,2200,8
275000.0,2,1270,7
350900.0,4,2540,9
660000.0,4,3030,8
525000.0,3,1520,7
262000.0,4,1560,7
690000.0,2,970,7
624000.0,5,3570,9
353000.0,3,1350,6
552500.0,4,3710,8
224500.0,4,1430,7
239000.0,3,940,6
975000.0,5,4300,10
1200000.0,4,3990,11
505000.0,3,1380,7
302000.0,4,2020,7
170000.0,3,1480,6
195000.0,2,1190,5
272000.0,5,2550,7
369000.0,5,2550,7
332500.0,3,1500,7
515000.0,3,3000,8
269000.0,3,1690,7
1280000.0,4,4390,11
303000.0,3,1560,7
420000.0,7,2940,8
400000.0,3,1130,7
225000.0,3,1020,6
219000.0,2,1310,6
605000.0,3,2570,9
625000.0,4,2020,8
380000.0,5,1680,5
620000.0,4,1770,7
687500.0,4,3190,10
225500.0,4,1440,6
252500.0,3,1150,7
510000.0,3,1860,8
510000.0,4,2430,8
725000.0,3,1940,7
492000.0,2,880,7
425000.0,4,1930,7
1960000.0,4,3120,8
298900.0,3,1830,8
699000.0,4,3230,10
310000.0,2,700,6
350000.0,3,1010,7
790000.0,4,2460,7
305000.0,4,2230,8
315000.0,3,1570,7
267500.0,5,2390,7
1750000.0,4,3460,10
435000.0,6,2400,8
482500.0,6,2940,8
5110000.0,5,8010,12
